	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
ADAP2	-0.03085161852111103	2.5000796102973188e-12	3.2072862223185616e-12	-0.0394778532243163	-0.022220785536991174	0.03085103079969022	2.5024639849711175e-12	3.210345073728182e-12	0.02222019754610574	0.03947726585979018
LPP	-0.031248594718212203	1.3079151959643568e-12	1.68437243524064e-12	-0.039874586995156065	-0.02261794510793569	0.031247715014586126	1.309805939942478e-12	1.6868073920701586e-12	0.022617064994939505	0.03987370783175607
MOSPD2	-0.031661915662796386	6.605828637245879e-13	8.5346623220231e-13	-0.04028765264203145	-0.02303145987112294	0.031662223953054854	6.602442506062006e-13	8.530287475532307e-13	0.023031768307050123	0.0402879607407666
DDX42	-0.03174874357266568	5.716489191226853e-13	7.395199471186098e-13	-0.04037442654580288	-0.023118328872552715	0.031748283601382446	5.72087550890653e-13	7.400873879568603e-13	0.023117868683243364	0.040373966860960016
CCDC127	-0.03187717684123076	4.612490891780254e-13	5.970861995832044e-13	-0.04050277969158654	-0.023246823161491594	0.03187597741985141	4.621761502974065e-13	5.982862787021444e-13	0.023245623168932	0.040501581019780145
SEMA3B	-0.032115294141788465	3.0916433667502007e-13	4.0047193869821253e-13	-0.04074074769009268	-0.023485054349183198	0.032113775808770395	3.0995684515570184e-13	4.0149850408769667e-13	0.023483535286869337	0.0407392303121852
ZNF665	-0.0322938607642585	2.2859885450547725e-13	2.964965687489977e-13	-0.04091920170736963	-0.023663707019902593	0.03229309862307571	2.288943960155897e-13	2.9687989107080373e-13	0.02366294451028552	0.040918440047967006
WDR90	-0.03341753848384076	3.294833633166634e-14	4.301349390556964e-14	-0.04204215820240628	-0.024787938868789865	0.033417000739311205	3.297939975651243e-14	4.305404667952014e-14	0.024787400853857153	0.04204162080823564
HEMK1	-0.03345772268272757	3.070667335385807e-14	4.011322449883484e-14	-0.04208231620579583	-0.02482814328831939	0.033456464618804735	3.0774523730685036e-14	4.020185987026132e-14	0.024826884590916944	0.042081058962409205
MLLT1	-0.03382024489450753	1.6201443432695614e-14	2.121996520326865e-14	-0.04244460083490644	-0.02519084918274278	0.03381929935882543	1.6228625423870034e-14	2.1255567025370053e-14	0.025189903165021826	0.04244365592184087
DCAF4	-0.033834157862744525	1.5806617746563942e-14	2.07164059587994e-14	-0.042458504639945556	-0.025204769245667946	0.033833464400279054	1.5826070887147494e-14	2.0741901555894487e-14	0.025204075429503515	0.0424578116342794
AP3S2	-0.03391692144112709	1.3646206770810282e-14	1.790840783570903e-14	-0.04254121364049996	-0.02528757509712999	0.03391593461691421	1.3670168754076292e-14	1.7939854007974136e-14	0.025286587768180248	0.04254022746773731
C14orf119	-0.03395894407541429	1.2663280350891622e-14	1.6629389823889195e-14	-0.04258320851802586	-0.025329619240607035	0.033958707307701896	1.2668618337980129e-14	1.6636399655916124e-14	0.025329382351620116	0.04258297190678848
FRMPD3	-0.03403063459176424	1.1144730860129184e-14	1.464485001331036e-14	-0.04265485161106463	-0.02540134652204974	0.03402920744272572	1.1173135671981218e-14	1.468217565306336e-14	0.02539991864025872	0.04265342540695113
